year,period,periodName,value,state,state_code
2010,M01,January,689.92,Alabama,1
2010,M02,February,693.91,Alabama,1
2010,M03,March,694.26,Alabama,1
2010,M04,April,697.9,Alabama,1
2010,M05,May,706.45,Alabama,1
2010,M06,June,694.63,Alabama,1
2010,M07,July,697.03,Alabama,1
2010,M08,August,698.64,Alabama,1
2010,M09,September,693.7,Alabama,1
2010,M10,October,696.96,Alabama,1
2010,M11,November,699.07,Alabama,1
2010,M12,December,700.25,Alabama,1
2011,M01,January,694.96,Alabama,1
2011,M02,February,698.25,Alabama,1
2011,M03,March,694.4,Alabama,1
2011,M04,April,699.4,Alabama,1
2011,M05,May,712.1,Alabama,1
2011,M06,June,704.63,Alabama,1
2011,M07,July,710.34,Alabama,1
2011,M08,August,718.76,Alabama,1
2011,M09,September,723.75,Alabama,1
2011,M10,October,729.35,Alabama,1
2011,M11,November,712.71,Alabama,1
2011,M12,December,716.5,Alabama,1
2012,M01,January,724.2,Alabama,1
2012,M02,February,728.41,Alabama,1
2012,M03,March,725.07,Alabama,1
2012,M04,April,735.72,Alabama,1
2012,M05,May,714.85,Alabama,1
2012,M06,June,723.16,Alabama,1
2012,M07,July,723.03,Alabama,1
2012,M08,August,717.48,Alabama,1
2012,M09,September,734.19,Alabama,1
2012,M10,October,724.53,Alabama,1
2012,M11,November,728.5,Alabama,1
2012,M12,December,747.37,Alabama,1
2013,M01,January,719.94,Alabama,1
2013,M02,February,728.28,Alabama,1
2013,M03,March,732.96,Alabama,1
2013,M04,April,725.9,Alabama,1
2013,M05,May,718.51,Alabama,1
2013,M06,June,738.59,Alabama,1
2013,M07,July,721.95,Alabama,1
2013,M08,August,729.22,Alabama,1
2013,M09,September,748.84,Alabama,1
2013,M10,October,732.11,Alabama,1
2013,M11,November,728.5,Alabama,1
2013,M12,December,745.6,Alabama,1
2014,M01,January,720.3,Alabama,1
2014,M02,February,737.45,Alabama,1
2014,M03,March,750.96,Alabama,1
2014,M04,April,738.34,Alabama,1
2014,M05,May,736.63,Alabama,1
2014,M06,June,751.08,Alabama,1
2014,M07,July,735.97,Alabama,1
2014,M08,August,741.19,Alabama,1
2014,M09,September,740.89,Alabama,1
2014,M10,October,734.98,Alabama,1
2014,M11,November,750.45,Alabama,1
2014,M12,December,742.31,Alabama,1
2015,M01,January,737.44,Alabama,1
2015,M02,February,754.73,Alabama,1
2015,M03,March,751.54,Alabama,1
2015,M04,April,745.54,Alabama,1
2015,M05,May,749.05,Alabama,1
