State,State Code,Year,Month,Month Code,Births,Female Population,Fertility
Alabama,1,2010,January,1,4917,960620,5.1185692573546255
Alabama,1,2010,February,2,4617,960620,4.806270950011451
Alabama,1,2010,March,3,5062,960620,5.269513439237159
Alabama,1,2010,April,4,4662,960620,4.853115696112927
Alabama,1,2010,May,5,4716,960620,4.9093293914346985
Alabama,1,2010,June,6,4841,960620,5.039453686161021
Alabama,1,2010,July,7,5253,960620,5.46834336157898
Alabama,1,2010,August,8,5282,960620,5.498532197955487
Alabama,1,2010,September,9,5492,960620,5.717141013095709
Alabama,1,2010,October,10,5034,960620,5.240365597218463
Alabama,1,2010,November,11,5102,960620,5.3111532135495825
Alabama,1,2010,December,12,5072,960620,5.279923382815265
Alabama,1,2011,January,1,4949,960184,5.154220441082126
Alabama,1,2011,February,2,4503,960184,4.6897261358239675
Alabama,1,2011,March,3,4887,960184,5.089649483848929
Alabama,1,2011,April,4,4383,960184,4.564750089566166
Alabama,1,2011,May,5,4635,960184,4.827199786707547
Alabama,1,2011,June,6,5118,960184,5.330228372895195
Alabama,1,2011,July,7,5228,960184,5.444789748631512
Alabama,1,2011,August,8,5612,960184,5.844713096656474
Alabama,1,2011,September,9,5127,960184,5.33960157636453
Alabama,1,2011,October,10,4862,960184,5.063612807545221
Alabama,1,2011,November,11,4909,960184,5.1125617589961925
Alabama,1,2011,December,12,5141,960184,5.3541821150946065
Alabama,1,2012,January,1,4810,959003,5.015625602839616
Alabama,1,2012,February,2,4625,959003,4.822716925807323
Alabama,1,2012,March,3,4599,959003,4.795605436062244
Alabama,1,2012,April,4,4486,959003,4.677774730631708
Alabama,1,2012,May,5,4783,959003,4.9874713634889565
Alabama,1,2012,June,6,4904,959003,5.113644065764132
Alabama,1,2012,July,7,5141,959003,5.360775722286583
Alabama,1,2012,August,8,5400,959003,5.6308478701317934
Alabama,1,2012,September,9,4923,959003,5.133456308270151
Alabama,1,2012,October,10,5081,959003,5.298210745951786
Alabama,1,2012,November,11,4930,959003,5.1407555555092115
Alabama,1,2012,December,12,4766,959003,4.969744620194097
Alabama,1,2013,January,1,4934,959756,5.140889976202285
Alabama,1,2013,February,2,4307,959756,4.487598931395063
Alabama,1,2013,March,3,4581,959756,4.77308815990731
Alabama,1,2013,April,4,4572,959756,4.763710776489024
Alabama,1,2013,May,5,4761,959756,4.960635828273019
Alabama,1,2013,June,6,4545,959756,4.735578626234168
Alabama,1,2013,July,7,5282,959756,5.503482135042657
Alabama,1,2013,August,8,5308,959756,5.530572353806592
Alabama,1,2013,September,9,4884,959756,5.088793401656254
Alabama,1,2013,October,10,4972,959756,5.1804833728572675
Alabama,1,2013,November,11,4774,959756,4.974180937654987
Alabama,1,2013,December,12,5247,959756,5.467014532860436
Alabama,1,2014,January,1,4924,961109,5.1232482475973065
Alabama,1,2014,February,2,4590,961109,4.775733033402038
Alabama,1,2014,March,3,4668,961109,4.8568892810284785
Alabama,1,2014,April,4,4685,961109,4.87457718115219
Alabama,1,2014,May,5,4832,961109,5.0275254939866345
Alabama,1,2014,June,6,4746,961109,4.938045528654919
Alabama,1,2014,July,7,5193,961109,5.403133255437209
