year,period,periodName,value,state,state_code
2010,M01,January,58.9,Alabama,1
2010,M02,February,59,Alabama,1
2010,M03,March,59,Alabama,1
2010,M04,April,59.4,Alabama,1
2010,M05,May,59.8,Alabama,1
2010,M06,June,59.8,Alabama,1
2010,M07,July,59.8,Alabama,1
2010,M08,August,59.7,Alabama,1
2010,M09,September,59.7,Alabama,1
2010,M10,October,59.7,Alabama,1
2010,M11,November,59.7,Alabama,1
2010,M12,December,59.6,Alabama,1
2011,M01,January,59.6,Alabama,1
2011,M02,February,59.5,Alabama,1
2011,M03,March,59.4,Alabama,1
2011,M04,April,59.4,Alabama,1
2011,M05,May,59.3,Alabama,1
2011,M06,June,59.2,Alabama,1
2011,M07,July,59.1,Alabama,1
2011,M08,August,59,Alabama,1
2011,M09,September,58.9,Alabama,1
2011,M10,October,58.8,Alabama,1
2011,M11,November,58.7,Alabama,1
2011,M12,December,58.5,Alabama,1
2012,M01,January,58.3,Alabama,1
2012,M02,February,58.2,Alabama,1
2012,M03,March,58.1,Alabama,1
2012,M04,April,58.1,Alabama,1
2012,M05,May,58.1,Alabama,1
2012,M06,June,58.1,Alabama,1
2012,M07,July,58.2,Alabama,1
2012,M08,August,58.2,Alabama,1
2012,M09,September,58.2,Alabama,1
2012,M10,October,58.2,Alabama,1
2012,M11,November,58.2,Alabama,1
2012,M12,December,58.1,Alabama,1
2013,M01,January,58.1,Alabama,1
2013,M02,February,58,Alabama,1
2013,M03,March,57.9,Alabama,1
2013,M04,April,57.8,Alabama,1
2013,M05,May,57.8,Alabama,1
2013,M06,June,57.8,Alabama,1
2013,M07,July,57.7,Alabama,1
2013,M08,August,57.7,Alabama,1
2013,M09,September,57.6,Alabama,1
2013,M10,October,57.5,Alabama,1
2013,M11,November,57.4,Alabama,1
2013,M12,December,57.4,Alabama,1
2014,M01,January,57.4,Alabama,1
2014,M02,February,57.4,Alabama,1
2014,M03,March,57.4,Alabama,1
2014,M04,April,57.3,Alabama,1
2014,M05,May,57.3,Alabama,1
2014,M06,June,57.2,Alabama,1
2014,M07,July,57.2,Alabama,1
2014,M08,August,57.1,Alabama,1
2014,M09,September,57.1,Alabama,1
2014,M10,October,57.1,Alabama,1
2014,M11,November,57.1,Alabama,1
2014,M12,December,57.1,Alabama,1
2015,M01,January,57.1,Alabama,1
2015,M02,February,57.2,Alabama,1
2015,M03,March,57.3,Alabama,1
2015,M04,April,57.2,Alabama,1
2015,M05,May,57,Alabama,1
2015,M06,June,56.8,Alabama,1
2015,M07,July,56.6,Alabama,1
2015,M08,August,56.4,Alabama,1
2015,M09,September,56.2,Alabama,1
2015,M10,October,56.1,Alabama,1
2015,M11,November,55.9,Alabama,1
2015,M12,December,56,Alabama,1
2016,M01,January,56.2,Alabama,1
2016,M02,February,56.3,Alabama,1
2016,M03,March,56.3,Alabama,1
2016,M04,April,56.4,Alabama,1
2016,M05,May,56.4,Alabama,1
2016,M06,June,56.5,Alabama,1
2016,M07,July,56.5,Alabama,1
2016,M08,August,56.6,Alabama,1
2016,M09,September,56.6,Alabama,1
2016,M10,October,56.7,Alabama,1
2016,M11,November,56.7,Alabama,1
2016,M12,December,56.7,Alabama,1
2017,M01,January,56.7,Alabama,1
2017,M02,February,56.7,Alabama,1
2017,M03,March,56.6,Alabama,1
2017,M04,April,56.6,Alabama,1
2017,M05,May,56.6,Alabama,1
2017,M06,June,56.6,Alabama,1
2017,M07,July,56.7,Alabama,1
2017,M08,August,56.7,Alabama,1
2017,M09,September,56.7,Alabama,1
2017,M10,October,56.7,Alabama,1
2017,M11,November,56.7,Alabama,1
2017,M12,December,56.7,Alabama,1
2018,M01,January,56.8,Alabama,1
2018,M02,February,56.9,Alabama,1
2018,M03,March,57.1,Alabama,1
2018,M04,April,57.2,Alabama,1
2018,M05,May,57.3,Alabama,1
2018,M06,June,57.4,Alabama,1
2018,M07,July,57.4,Alabama,1
2018,M08,August,57.4,Alabama,1
2018,M09,September,57.5,Alabama,1
2018,M10,October,57.6,Alabama,1
2018,M11,November,57.6,Alabama,1
2018,M12,December,57.7,Alabama,1
2019,M01,January,57.8,Alabama,1
2019,M02,February,57.8,Alabama,1
2019,M03,March,57.8,Alabama,1
2019,M04,April,57.8,Alabama,1
2019,M05,May,57.8,Alabama,1
2019,M06,June,57.8,Alabama,1
2019,M07,July,57.8,Alabama,1
2019,M08,August,57.9,Alabama,1
2019,M09,September,57.9,Alabama,1
2019,M10,October,58,Alabama,1
2019,M11,November,58,Alabama,1
2019,M12,December,57.9,Alabama,1
2020,M01,January,57.8,Alabama,1
2020,M02,February,57.7,Alabama,1
2020,M03,March,57.6,Alabama,1
2020,M04,April,56.4,Alabama,1
2020,M05,May,57.2,Alabama,1
2020,M06,June,57.3,Alabama,1
2020,M07,July,57.3,Alabama,1
2020,M08,August,57.1,Alabama,1
2020,M09,September,57,Alabama,1
2020,M10,October,58.3,Alabama,1
2020,M11,November,58.2,Alabama,1
2020,M12,December,58.2,Alabama,1
2021,M01,January,58,Alabama,1
2021,M02,February,57.8,Alabama,1
2021,M03,March,57.4,Alabama,1
2021,M04,April,57.3,Alabama,1
2021,M05,May,57.1,Alabama,1
2021,M06,June,56.8,Alabama,1
2021,M07,July,56.7,Alabama,1
2021,M08,August,56.6,Alabama,1
2021,M09,September,56.6,Alabama,1
2021,M10,October,56.7,Alabama,1
2021,M11,November,56.8,Alabama,1
2021,M12,December,57,Alabama,1
2010,M01,January,70,Alaska,2
2010,M02,February,70.1,Alaska,2
2010,M03,March,70.2,Alaska,2
2010,M04,April,70.1,Alaska,2
2010,M05,May,70,Alaska,2
2010,M06,June,69.8,Alaska,2
2010,M07,July,69.6,Alaska,2
2010,M08,August,69.5,Alaska,2
