State,State Code,Year,Month Code,Deaths_Female,Deaths_Male,Pop_Female,Pop_Male,mor_female,mor_male
Alabama,1,2010,2010/01,2304,2169,2459548,2320188,93.675748552173,93.4838038986496
Alabama,1,2010,2010/02,2017,2056,2459548,2320188,82.00693786012715,88.61350890531284
Alabama,1,2010,2010/03,2060,2201,2459548,2320188,83.75522657008524,94.86300248083344
Alabama,1,2010,2010/04,1942,1901,2459548,2320188,78.95759708694443,81.93301577285979
Alabama,1,2010,2010/05,1938,1956,2459548,2320188,78.79496557904135,84.30351333598828
Alabama,1,2010,2010/06,1873,1933,2459548,2320188,76.15220357561633,83.31221435504364
Alabama,1,2010,2010/07,1951,1868,2459548,2320188,79.32351797972636,80.51071723498268
Alabama,1,2010,2010/08,1909,1952,2459548,2320188,77.61588714674403,84.13111351321531
Alabama,1,2010,2010/09,1890,1857,2459548,2320188,76.84338748420441,80.03661772235698
Alabama,1,2010,2010/10,1974,2005,2459548,2320188,80.25864915016905,86.41541116495732
Alabama,1,2010,2010/11,1893,1932,2459548,2320188,76.96536111513173,83.2691143993504
Alabama,1,2010,2010/12,2235,2222,2459548,2320188,90.8703550408449,95.7681015503916
Alabama,1,2011,2011/01,2308,2312,2473249,2329491,93.31854576712657,99.24914927767482
Alabama,1,2011,2011/02,2043,1987,2473249,2329491,82.60389471500848,85.29760363959338
Alabama,1,2011,2011/03,2072,2208,2473249,2329491,83.77644143391952,94.78465467348876
Alabama,1,2011,2011/04,2085,2054,2473249,2329491,84.3020658251555,88.17376843267478
Alabama,1,2011,2011/05,1997,2040,2473249,2329491,80.74399302294269,87.57277877441896
Alabama,1,2011,2011/06,1831,1979,2473249,2329491,74.03217387331401,84.9541809777329
Alabama,1,2011,2011/07,1916,2017,2473249,2329491,77.46894873908774,86.58543862157012
Alabama,1,2011,2011/08,1889,1931,2473249,2329491,76.37726731113608,82.89364500657011
Alabama,1,2011,2011/09,1798,1902,2473249,2329491,72.69789657248421,81.64873785732591
Alabama,1,2011,2011/10,2019,2024,2473249,2329491,81.6335112234959,86.88593345069803
Alabama,1,2011,2011/11,1998,1999,2473249,2329491,80.78442566842239,85.81273763238407
Alabama,1,2011,2011/12,2114,2158,2473249,2329491,85.47461254406653,92.63826303686085
Alabama,1,2012,2012/01,2171,2065,2483466,2338557,87.4181486680309,88.3023163429414
Alabama,1,2012,2012/02,2053,1992,2483466,2338557,82.66672465014621,85.1807332470408
Alabama,1,2012,2012/03,2041,2179,2483466,2338557,82.18352898731048,93.17711734201903
Alabama,1,2012,2012/04,1968,2079,2483466,2338557,79.24408870505978,88.90097611475795
Alabama,1,2012,2012/05,1990,1992,2483466,2338557,80.12994742025862,85.1807332470408
Alabama,1,2012,2012/06,1939,1973,2483466,2338557,78.07636585320677,84.36826641386119
Alabama,1,2012,2012/07,1996,2006,2483466,2338557,80.3715452516765,85.77939301885735
Alabama,1,2012,2012/08,1986,1993,2483466,2338557,79.96888219931338,85.22349465931342
Alabama,1,2012,2012/09,1938,1991,2483466,2338557,78.03609954797045,85.1379718347682
Alabama,1,2012,2012/10,2021,2076,2483466,2338557,81.37820288258426,88.77269187794012
Alabama,1,2012,2012/11,2048,2121,2483466,2338557,82.46539312396466,90.69695543020761
Alabama,1,2012,2012/12,2384,2299,2483466,2338557,95.9948716833651,98.30848681473233
Alabama,1,2013,2013/01,2464,2514,2488375,2345347,99.02044506957351,107.19096150804124
Alabama,1,2013,2013/02,2058,2089,2488375,2345347,82.7045762797006,89.06997557291096
Alabama,1,2013,2013/03,2236,2312,2488375,2345347,89.85783895112272,98.57816348710872
