year,period,periodName,value,state,state_code
2010,M01,January,11.1,Alabama,1
2010,M02,February,11,Alabama,1
2010,M03,March,10.9,Alabama,1
2010,M04,April,10.5,Alabama,1
2010,M05,May,10.3,Alabama,1
2010,M06,June,10.1,Alabama,1
2010,M07,July,10.1,Alabama,1
2010,M08,August,10,Alabama,1
2010,M09,September,10.1,Alabama,1
2010,M10,October,10.1,Alabama,1
2010,M11,November,10.2,Alabama,1
2010,M12,December,10.1,Alabama,1
2011,M01,January,10.1,Alabama,1
2011,M02,February,10,Alabama,1
2011,M03,March,9.9,Alabama,1
2011,M04,April,9.9,Alabama,1
2011,M05,May,9.8,Alabama,1
2011,M06,June,9.8,Alabama,1
2011,M07,July,9.7,Alabama,1
2011,M08,August,9.6,Alabama,1
2011,M09,September,9.4,Alabama,1
2011,M10,October,9.2,Alabama,1
2011,M11,November,8.9,Alabama,1
2011,M12,December,8.7,Alabama,1
2012,M01,January,8.5,Alabama,1
2012,M02,February,8.4,Alabama,1
2012,M03,March,8.4,Alabama,1
2012,M04,April,8.4,Alabama,1
2012,M05,May,8.4,Alabama,1
2012,M06,June,8.3,Alabama,1
2012,M07,July,8.2,Alabama,1
2012,M08,August,8.1,Alabama,1
2012,M09,September,7.9,Alabama,1
2012,M10,October,7.8,Alabama,1
2012,M11,November,7.8,Alabama,1
2012,M12,December,7.7,Alabama,1
2013,M01,January,7.6,Alabama,1
2013,M02,February,7.6,Alabama,1
2013,M03,March,7.5,Alabama,1
2013,M04,April,7.4,Alabama,1
2013,M05,May,7.3,Alabama,1
2013,M06,June,7.3,Alabama,1
2013,M07,July,7.2,Alabama,1
2013,M08,August,7.2,Alabama,1
2013,M09,September,7.2,Alabama,1
2013,M10,October,7.2,Alabama,1
2013,M11,November,7.2,Alabama,1
2013,M12,December,7.2,Alabama,1
2014,M01,January,7.2,Alabama,1
2014,M02,February,7.1,Alabama,1
2014,M03,March,7.1,Alabama,1
2014,M04,April,7,Alabama,1
2014,M05,May,6.9,Alabama,1
2014,M06,June,6.8,Alabama,1
2014,M07,July,6.7,Alabama,1
2014,M08,August,6.6,Alabama,1
2014,M09,September,6.5,Alabama,1
2014,M10,October,6.4,Alabama,1
2014,M11,November,6.3,Alabama,1
2014,M12,December,6.2,Alabama,1
2015,M01,January,6.1,Alabama,1
2015,M02,February,6.1,Alabama,1
2015,M03,March,6.1,Alabama,1
2015,M04,April,6.1,Alabama,1
2015,M05,May,6.1,Alabama,1
2015,M06,June,6.2,Alabama,1
2015,M07,July,6.2,Alabama,1
2015,M08,August,6.2,Alabama,1
2015,M09,September,6.1,Alabama,1
2015,M10,October,6.1,Alabama,1
2015,M11,November,6.1,Alabama,1
2015,M12,December,6.1,Alabama,1
2016,M01,January,6.1,Alabama,1
2016,M02,February,6,Alabama,1
2016,M03,March,6,Alabama,1
2016,M04,April,5.9,Alabama,1
2016,M05,May,5.9,Alabama,1
2016,M06,June,5.9,Alabama,1
2016,M07,July,5.9,Alabama,1
2016,M08,August,5.9,Alabama,1
2016,M09,September,5.9,Alabama,1
2016,M10,October,5.9,Alabama,1
2016,M11,November,5.8,Alabama,1
2016,M12,December,5.7,Alabama,1
2017,M01,January,5.5,Alabama,1
2017,M02,February,5.3,Alabama,1
2017,M03,March,5.1,Alabama,1
2017,M04,April,4.9,Alabama,1
2017,M05,May,4.7,Alabama,1
2017,M06,June,4.5,Alabama,1
2017,M07,July,4.4,Alabama,1
2017,M08,August,4.3,Alabama,1
2017,M09,September,4.2,Alabama,1
2017,M10,October,4.1,Alabama,1
2017,M11,November,4,Alabama,1
2017,M12,December,4,Alabama,1
2018,M01,January,4,Alabama,1
2018,M02,February,4,Alabama,1
2018,M03,March,4,Alabama,1
2018,M04,April,4,Alabama,1
2018,M05,May,4,Alabama,1
2018,M06,June,4,Alabama,1
2018,M07,July,4,Alabama,1
2018,M08,August,3.9,Alabama,1
2018,M09,September,3.9,Alabama,1
2018,M10,October,3.8,Alabama,1
2018,M11,November,3.8,Alabama,1
2018,M12,December,3.7,Alabama,1
2019,M01,January,3.6,Alabama,1
2019,M02,February,3.5,Alabama,1
2019,M03,March,3.3,Alabama,1
2019,M04,April,3.2,Alabama,1
2019,M05,May,3.1,Alabama,1
2019,M06,June,2.9,Alabama,1
2019,M07,July,2.9,Alabama,1
2019,M08,August,2.8,Alabama,1
2019,M09,September,2.8,Alabama,1
2019,M10,October,2.8,Alabama,1
2019,M11,November,2.7,Alabama,1
2019,M12,December,2.7,Alabama,1
2020,M01,January,2.7,Alabama,1
2020,M02,February,2.6,Alabama,1
2020,M03,March,2.6,Alabama,1
2020,M04,April,13.2,Alabama,1
2020,M05,May,7.9,Alabama,1
2020,M06,June,7.7,Alabama,1
2020,M07,July,7.4,Alabama,1
2020,M08,August,7.1,Alabama,1
2020,M09,September,6.7,Alabama,1
2020,M10,October,4.7,Alabama,1
2020,M11,November,4.7,Alabama,1
2020,M12,December,4.7,Alabama,1
2021,M01,January,4.3,Alabama,1
2021,M02,February,4,Alabama,1
2021,M03,March,3.8,Alabama,1
2021,M04,April,3.6,Alabama,1
2021,M05,May,3.4,Alabama,1
2021,M06,June,3.3,Alabama,1
2021,M07,July,3.2,Alabama,1
2021,M08,August,3.1,Alabama,1
2021,M09,September,3.1,Alabama,1
2021,M10,October,3.1,Alabama,1
2021,M11,November,3.1,Alabama,1
2021,M12,December,3.1,Alabama,1
2010,M01,January,8.4,Alaska,2
2010,M02,February,8.4,Alaska,2
2010,M03,March,8.4,Alaska,2
2010,M04,April,8.3,Alaska,2
2010,M05,May,8.2,Alaska,2
2010,M06,June,8,Alaska,2
2010,M07,July,7.9,Alaska,2
2010,M08,August,7.9,Alaska,2
2010,M09,September,8,Alaska,2
2010,M10,October,8,Alaska,2
2010,M11,November,8.1,Alaska,2
2010,M12,December,8,Alaska,2
2011,M01,January,8,Alaska,2
2011,M02,February,7.9,Alaska,2
2011,M03,March,7.8,Alaska,2
2011,M04,April,7.8,Alaska,2
2011,M05,May,7.7,Alaska,2
2011,M06,June,7.7,Alaska,2
2011,M07,July,7.7,Alaska,2
2011,M08,August,7.7,Alaska,2
2011,M09,September,7.7,Alaska,2
2011,M10,October,7.7,Alaska,2
2011,M11,November,7.6,Alaska,2
2011,M12,December,7.5,Alaska,2
2012,M01,January,7.5,Alaska,2
2012,M02,February,7.4,Alaska,2
2012,M03,March,7.4,Alaska,2
2012,M04,April,7.3,Alaska,2
2012,M05,May,7.3,Alaska,2
2012,M06,June,7.3,Alaska,2
2012,M07,July,7.2,Alaska,2
2012,M08,August,7.2,Alaska,2
2012,M09,September,7.1,Alaska,2
2012,M10,October,7.1,Alaska,2
2012,M11,November,7.1,Alaska,2
2012,M12,December,7.1,Alaska,2
2013,M01,January,7.1,Alaska,2
2013,M02,February,7,Alaska,2
2013,M03,March,7,Alaska,2
2013,M04,April,7,Alaska,2
2013,M05,May,7,Alaska,2
2013,M06,June,7,Alaska,2
2013,M07,July,7,Alaska,2
2013,M08,August,7,Alaska,2
2013,M09,September,7,Alaska,2
2013,M10,October,7,Alaska,2
2013,M11,November,6.9,Alaska,2
2013,M12,December,6.9,Alaska,2
2014,M01,January,6.9,Alaska,2
2014,M02,February,6.9,Alaska,2
2014,M03,March,6.9,Alaska,2
2014,M04,April,6.9,Alaska,2
2014,M05,May,6.9,Alaska,2
2014,M06,June,6.9,Alaska,2
2014,M07,July,6.8,Alaska,2
2014,M08,August,6.8,Alaska,2
2014,M09,September,6.7,Alaska,2
2014,M10,October,6.5,Alaska,2
2014,M11,November,6.4,Alaska,2
2014,M12,December,6.3,Alaska,2
2015,M01,January,6.2,Alaska,2
2015,M02,February,6.3,Alaska,2
2015,M03,March,6.3,Alaska,2
2015,M04,April,6.3,Alaska,2
2015,M05,May,6.3,Alaska,2
2015,M06,June,6.3,Alaska,2
2015,M07,July,6.2,Alaska,2
2015,M08,August,6.2,Alaska,2
2015,M09,September,6.2,Alaska,2
2015,M10,October,6.3,Alaska,2
2015,M11,November,6.3,Alaska,2
2015,M12,December,6.4,Alaska,2
2016,M01,January,6.4,Alaska,2
2016,M02,February,6.5,Alaska,2
2016,M03,March,6.5,Alaska,2
2016,M04,April,6.5,Alaska,2
2016,M05,May,6.6,Alaska,2
2016,M06,June,6.6,Alaska,2
2016,M07,July,6.6,Alaska,2
2016,M08,August,6.7,Alaska,2
2016,M09,September,6.7,Alaska,2
2016,M10,October,6.7,Alaska,2
2016,M11,November,6.7,Alaska,2
2016,M12,December,6.7,Alaska,2
2017,M01,January,6.6,Alaska,2
2017,M02,February,6.6,Alaska,2
2017,M03,March,6.5,Alaska,2
2017,M04,April,6.5,Alaska,2
2017,M05,May,6.5,Alaska,2
2017,M06,June,6.5,Alaska,2
2017,M07,July,6.5,Alaska,2
2017,M08,August,6.5,Alaska,2
2017,M09,September,6.5,Alaska,2
2017,M10,October,6.5,Alaska,2
2017,M11,November,6.4,Alaska,2
2017,M12,December,6.4,Alaska,2
2018,M01,January,6.3,Alaska,2
2018,M02,February,6.2,Alaska,2
2018,M03,March,6.1,Alaska,2
2018,M04,April,6,Alaska,2
2018,M05,May,5.9,Alaska,2
2018,M06,June,5.9,Alaska,2
2018,M07,July,5.8,Alaska,2
2018,M08,August,5.8,Alaska,2
2018,M09,September,5.8,Alaska,2
2018,M10,October,5.8,Alaska,2
2018,M11,November,5.8,Alaska,2
2018,M12,December,5.8,Alaska,2
2019,M01,January,5.8,Alaska,2
2019,M02,February,5.7,Alaska,2
2019,M03,March,5.6,Alaska,2
2019,M04,April,5.5,Alaska,2
2019,M05,May,5.4,Alaska,2
2019,M06,June,5.4,Alaska,2
2019,M07,July,5.4,Alaska,2
2019,M08,August,5.4,Alaska,2
2019,M09,September,5.3,Alaska,2
2019,M10,October,5.2,Alaska,2
2019,M11,November,5,Alaska,2
2019,M12,December,5,Alaska,2
2020,M01,January,5,Alaska,2
2020,M02,February,5.1,Alaska,2
2020,M03,March,5.1,Alaska,2
2020,M04,April,11.8,Alaska,2
2020,M05,May,11.6,Alaska,2
2020,M06,June,11.3,Alaska,2
2020,M07,July,11,Alaska,2
2020,M08,August,7.2,Alaska,2
2020,M09,September,7,Alaska,2
2020,M10,October,6.5,Alaska,2
2020,M11,November,6.5,Alaska,2
2020,M12,December,6.5,Alaska,2
2021,M01,January,6.6,Alaska,2
2021,M02,February,6.6,Alaska,2
2021,M03,March,6.7,Alaska,2
2021,M04,April,6.7,Alaska,2
2021,M05,May,6.6,Alaska,2
2021,M06,June,6.6,Alaska,2
2021,M07,July,6.6,Alaska,2
2021,M08,August,6.4,Alaska,2
2021,M09,September,6.3,Alaska,2
2021,M10,October,6.1,Alaska,2
2021,M11,November,6,Alaska,2
2021,M12,December,5.7,Alaska,2
2010,M01,January,10.6,Arizona,4
2010,M02,February,10.6,Arizona,4
2010,M03,March,10.6,Arizona,4
2010,M04,April,10.5,Arizona,4
2010,M05,May,10.4,Arizona,4
2010,M06,June,10.3,Arizona,4
2010,M07,July,10.2,Arizona,4
2010,M08,August,10.2,Arizona,4
2010,M09,September,10.1,Arizona,4
2010,M10,October,10.1,Arizona,4
2010,M11,November,10,Arizona,4
2010,M12,December,10,Arizona,4
2011,M01,January,9.8,Arizona,4
2011,M02,February,9.8,Arizona,4
2011,M03,March,9.7,Arizona,4
2011,M04,April,9.6,Arizona,4
2011,M05,May,9.6,Arizona,4
2011,M06,June,9.6,Arizona,4
2011,M07,July,9.5,Arizona,4
2011,M08,August,9.4,Arizona,4
2011,M09,September,9.3,Arizona,4
2011,M10,October,9.1,Arizona,4
2011,M11,November,9,Arizona,4
2011,M12,December,8.8,Arizona,4
2012,M01,January,8.7,Arizona,4
2012,M02,February,8.6,Arizona,4
2012,M03,March,8.6,Arizona,4
2012,M04,April,8.5,Arizona,4
2012,M05,May,8.5,Arizona,4
2012,M06,June,8.4,Arizona,4
2012,M07,July,8.3,Arizona,4
2012,M08,August,8.2,Arizona,4
2012,M09,September,8.1,Arizona,4
2012,M10,October,8.1,Arizona,4
2012,M11,November,8.1,Arizona,4
2012,M12,December,8.1,Arizona,4
2013,M01,January,8.1,Arizona,4
