State,State Code,Year,Month,Month Code,Births
Alabama,1,2010,January,1,4917
Alabama,1,2010,February,2,4617
Alabama,1,2010,March,3,5062
Alabama,1,2010,April,4,4662
Alabama,1,2010,May,5,4716
Alabama,1,2010,June,6,4841
Alabama,1,2010,July,7,5253
Alabama,1,2010,August,8,5282
Alabama,1,2010,September,9,5492
Alabama,1,2010,October,10,5034
Alabama,1,2010,November,11,5102
Alabama,1,2010,December,12,5072
Alabama,1,2011,January,1,4949
Alabama,1,2011,February,2,4503
Alabama,1,2011,March,3,4887
Alabama,1,2011,April,4,4383
Alabama,1,2011,May,5,4635
Alabama,1,2011,June,6,5118
Alabama,1,2011,July,7,5228
Alabama,1,2011,August,8,5612
Alabama,1,2011,September,9,5127
Alabama,1,2011,October,10,4862
Alabama,1,2011,November,11,4909
Alabama,1,2011,December,12,5141
Alabama,1,2012,January,1,4810
Alabama,1,2012,February,2,4625
Alabama,1,2012,March,3,4599
Alabama,1,2012,April,4,4486
Alabama,1,2012,May,5,4783
Alabama,1,2012,June,6,4904
Alabama,1,2012,July,7,5141
Alabama,1,2012,August,8,5400
Alabama,1,2012,September,9,4923
Alabama,1,2012,October,10,5081
Alabama,1,2012,November,11,4930
Alabama,1,2012,December,12,4766
Alabama,1,2013,January,1,4934
Alabama,1,2013,February,2,4307
Alabama,1,2013,March,3,4581
Alabama,1,2013,April,4,4572
Alabama,1,2013,May,5,4761
Alabama,1,2013,June,6,4545
Alabama,1,2013,July,7,5282
Alabama,1,2013,August,8,5308
Alabama,1,2013,September,9,4884
Alabama,1,2013,October,10,4972
Alabama,1,2013,November,11,4774
Alabama,1,2013,December,12,5247
Alabama,1,2014,January,1,4924
Alabama,1,2014,February,2,4590
Alabama,1,2014,March,3,4668
Alabama,1,2014,April,4,4685
Alabama,1,2014,May,5,4832
Alabama,1,2014,June,6,4746
Alabama,1,2014,July,7,5193
Alabama,1,2014,August,8,5165
Alabama,1,2014,September,9,5138
Alabama,1,2014,October,10,5271
Alabama,1,2014,November,11,4753
Alabama,1,2014,December,12,5457
Alabama,1,2015,January,1,4970
Alabama,1,2015,February,2,4473
Alabama,1,2015,March,3,4941
Alabama,1,2015,April,4,4643
Alabama,1,2015,May,5,4700
Alabama,1,2015,June,6,4953
Alabama,1,2015,July,7,5339
Alabama,1,2015,August,8,5192
Alabama,1,2015,September,9,5217
Alabama,1,2015,October,10,5129
Alabama,1,2015,November,11,4886
Alabama,1,2015,December,12,5214
Alabama,1,2016,January,1,4805
Alabama,1,2016,February,2,4718
Alabama,1,2016,March,3,4825
Alabama,1,2016,April,4,4527
Alabama,1,2016,May,5,4802
Alabama,1,2016,June,6,5047
Alabama,1,2016,July,7,5043
Alabama,1,2016,August,8,5325
Alabama,1,2016,September,9,5239
Alabama,1,2016,October,10,4973
Alabama,1,2016,November,11,4910
Alabama,1,2016,December,12,4937
Alabama,1,2017,January,1,4937
Alabama,1,2017,February,2,4497
Alabama,1,2017,March,3,4809
Alabama,1,2017,April,4,4383
Alabama,1,2017,May,5,4763
Alabama,1,2017,June,6,4823
Alabama,1,2017,July,7,5053
Alabama,1,2017,August,8,5539
Alabama,1,2017,September,9,5211
Alabama,1,2017,October,10,5061
Alabama,1,2017,November,11,4969
Alabama,1,2017,December,12,4896
Alabama,1,2018,January,1,4902
Alabama,1,2018,February,2,4342
Alabama,1,2018,March,3,4761
Alabama,1,2018,April,4,4393
Alabama,1,2018,May,5,4785
Alabama,1,2018,June,6,4768
Alabama,1,2018,July,7,4936
Alabama,1,2018,August,8,5275
Alabama,1,2018,September,9,4816
Alabama,1,2018,October,10,5003
Alabama,1,2018,November,11,4819
Alabama,1,2018,December,12,4961
Alabama,1,2019,January,1,5036
Alabama,1,2019,February,2,4399
Alabama,1,2019,March,3,4531
Alabama,1,2019,April,4,4535
Alabama,1,2019,May,5,4807
Alabama,1,2019,June,6,4470
Alabama,1,2019,July,7,5068
Alabama,1,2019,August,8,5460
Alabama,1,2019,September,9,5228
Alabama,1,2019,October,10,5205
Alabama,1,2019,November,11,4770
Alabama,1,2019,December,12,5106
Alabama,1,2020,January,1,4955
Alabama,1,2020,February,2,4449
Alabama,1,2020,March,3,4775
Alabama,1,2020,April,4,4567
Alabama,1,2020,May,5,4510
Alabama,1,2020,June,6,4799
Alabama,1,2020,July,7,5224
Alabama,1,2020,August,8,5201
Alabama,1,2020,September,9,5001
Alabama,1,2020,October,10,4777
Alabama,1,2020,November,11,4484
Alabama,1,2020,December,12,4905
Alaska,2,2010,January,1,924
Alaska,2,2010,February,2,817
Alaska,2,2010,March,3,935
Alaska,2,2010,April,4,913
Alaska,2,2010,May,5,964
Alaska,2,2010,June,6,1025
Alaska,2,2010,July,7,1014
Alaska,2,2010,August,8,1046
Alaska,2,2010,September,9,966
Alaska,2,2010,October,10,965
Alaska,2,2010,November,11,923
Alaska,2,2010,December,12,979
Alaska,2,2011,January,1,966
Alaska,2,2011,February,2,881
Alaska,2,2011,March,3,988
Alaska,2,2011,April,4,956
Alaska,2,2011,May,5,992
Alaska,2,2011,June,6,1034
Alaska,2,2011,July,7,943
Alaska,2,2011,August,8,928
Alaska,2,2011,September,9,1011
Alaska,2,2011,October,10,902
Alaska,2,2011,November,11,859
Alaska,2,2011,December,12,996
Alaska,2,2012,January,1,924
Alaska,2,2012,February,2,811
Alaska,2,2012,March,3,950
Alaska,2,2012,April,4,912
Alaska,2,2012,May,5,956
Alaska,2,2012,June,6,931
Alaska,2,2012,July,7,985
Alaska,2,2012,August,8,962
Alaska,2,2012,September,9,1029
Alaska,2,2012,October,10,973
Alaska,2,2012,November,11,833
Alaska,2,2012,December,12,921
Alaska,2,2013,January,1,974
Alaska,2,2013,February,2,836
Alaska,2,2013,March,3,983
Alaska,2,2013,April,4,917
Alaska,2,2013,May,5,945
Alaska,2,2013,June,6,982
Alaska,2,2013,July,7,961
Alaska,2,2013,August,8,1041
Alaska,2,2013,September,9,965
Alaska,2,2013,October,10,975
Alaska,2,2013,November,11,939
Alaska,2,2013,December,12,928
Alaska,2,2014,January,1,952
Alaska,2,2014,February,2,895
Alaska,2,2014,March,3,914
Alaska,2,2014,April,4,960
Alaska,2,2014,May,5,997
Alaska,2,2014,June,6,921
Alaska,2,2014,July,7,1010
Alaska,2,2014,August,8,977
Alaska,2,2014,September,9,961
Alaska,2,2014,October,10,978
Alaska,2,2014,November,11,894
Alaska,2,2014,December,12,933
Alaska,2,2015,January,1,915
Alaska,2,2015,February,2,887
Alaska,2,2015,March,3,963
Alaska,2,2015,April,4,940
Alaska,2,2015,May,5,975
Alaska,2,2015,June,6,906
Alaska,2,2015,July,7,1020
Alaska,2,2015,August,8,977
Alaska,2,2015,September,9,962
Alaska,2,2015,October,10,925
Alaska,2,2015,November,11,880
Alaska,2,2015,December,12,932
Alaska,2,2016,January,1,938
Alaska,2,2016,February,2,840
Alaska,2,2016,March,3,967
Alaska,2,2016,April,4,912
Alaska,2,2016,May,5,955
Alaska,2,2016,June,6,980
Alaska,2,2016,July,7,955
Alaska,2,2016,August,8,957
Alaska,2,2016,September,9,951
Alaska,2,2016,October,10,958
Alaska,2,2016,November,11,897
Alaska,2,2016,December,12,899
Alaska,2,2017,January,1,796
Alaska,2,2017,February,2,783
Alaska,2,2017,March,3,906
Alaska,2,2017,April,4,867
Alaska,2,2017,May,5,895
Alaska,2,2017,June,6,896
Alaska,2,2017,July,7,911
Alaska,2,2017,August,8,929
Alaska,2,2017,September,9,934
Alaska,2,2017,October,10,864
Alaska,2,2017,November,11,806
Alaska,2,2017,December,12,858
Alaska,2,2018,January,1,819
Alaska,2,2018,February,2,769
Alaska,2,2018,March,3,895
Alaska,2,2018,April,4,841
Alaska,2,2018,May,5,875
Alaska,2,2018,June,6,874
Alaska,2,2018,July,7,814
Alaska,2,2018,August,8,934
Alaska,2,2018,September,9,798
Alaska,2,2018,October,10,875
Alaska,2,2018,November,11,778
Alaska,2,2018,December,12,814
Alaska,2,2019,January,1,774
Alaska,2,2019,February,2,757
Alaska,2,2019,March,3,879
Alaska,2,2019,April,4,836
Alaska,2,2019,May,5,826
Alaska,2,2019,June,6,809
Alaska,2,2019,July,7,919
