State,State Code,Year,Month Code,Gender,Deaths
Alabama,1,2010,2010/01,Female,2304
Alabama,1,2010,2010/01,Male,2169
Alabama,1,2010,2010/02,Female,2017
Alabama,1,2010,2010/02,Male,2056
Alabama,1,2010,2010/03,Female,2060
Alabama,1,2010,2010/03,Male,2201
Alabama,1,2010,2010/04,Female,1942
Alabama,1,2010,2010/04,Male,1901
Alabama,1,2010,2010/05,Female,1938
Alabama,1,2010,2010/05,Male,1956
Alabama,1,2010,2010/06,Female,1873
Alabama,1,2010,2010/06,Male,1933
Alabama,1,2010,2010/07,Female,1951
Alabama,1,2010,2010/07,Male,1868
Alabama,1,2010,2010/08,Female,1909
Alabama,1,2010,2010/08,Male,1952
Alabama,1,2010,2010/09,Female,1890
Alabama,1,2010,2010/09,Male,1857
Alabama,1,2010,2010/10,Female,1974
Alabama,1,2010,2010/10,Male,2005
Alabama,1,2010,2010/11,Female,1893
Alabama,1,2010,2010/11,Male,1932
Alabama,1,2010,2010/12,Female,2235
Alabama,1,2010,2010/12,Male,2222
Alabama,1,2011,2011/01,Female,2308
Alabama,1,2011,2011/01,Male,2312
Alabama,1,2011,2011/02,Female,2043
Alabama,1,2011,2011/02,Male,1987
Alabama,1,2011,2011/03,Female,2072
Alabama,1,2011,2011/03,Male,2208
Alabama,1,2011,2011/04,Female,2085
Alabama,1,2011,2011/04,Male,2054
Alabama,1,2011,2011/05,Female,1997
Alabama,1,2011,2011/05,Male,2040
Alabama,1,2011,2011/06,Female,1831
Alabama,1,2011,2011/06,Male,1979
Alabama,1,2011,2011/07,Female,1916
Alabama,1,2011,2011/07,Male,2017
Alabama,1,2011,2011/08,Female,1889
Alabama,1,2011,2011/08,Male,1931
Alabama,1,2011,2011/09,Female,1798
Alabama,1,2011,2011/09,Male,1902
Alabama,1,2011,2011/10,Female,2019
Alabama,1,2011,2011/10,Male,2024
Alabama,1,2011,2011/11,Female,1998
Alabama,1,2011,2011/11,Male,1999
Alabama,1,2011,2011/12,Female,2114
Alabama,1,2011,2011/12,Male,2158
Alabama,1,2012,2012/01,Female,2171
Alabama,1,2012,2012/01,Male,2065
Alabama,1,2012,2012/02,Female,2053
Alabama,1,2012,2012/02,Male,1992
Alabama,1,2012,2012/03,Female,2041
Alabama,1,2012,2012/03,Male,2179
Alabama,1,2012,2012/04,Female,1968
Alabama,1,2012,2012/04,Male,2079
Alabama,1,2012,2012/05,Female,1990
Alabama,1,2012,2012/05,Male,1992
Alabama,1,2012,2012/06,Female,1939
Alabama,1,2012,2012/06,Male,1973
Alabama,1,2012,2012/07,Female,1996
Alabama,1,2012,2012/07,Male,2006
Alabama,1,2012,2012/08,Female,1986
Alabama,1,2012,2012/08,Male,1993
