State,State Code,Year,Births,Total Population,Birth Rate,Female Population,Fertility Rate
Alabama,1,2010,60050,4779736,12.56,960620,62.51
Alabama,1,2011,59354,4802740,12.36,960184,61.82
Alabama,1,2012,58448,4822023,12.12,959003,60.95
Alabama,1,2013,58167,4833722,12.03,959756,60.61
Alabama,1,2014,59422,4849377,12.25,961109,61.83
Alabama,1,2015,59657,4858979,12.28,958981,62.21
Alabama,1,2016,59151,4863300,12.16,952796,62.08
Alabama,1,2017,58941,4874747,12.09,949949,62.05
Alabama,1,2018,57761,4887871,11.82,948768,60.88
Alabama,1,2019,58615,4903185,11.95,949318,61.74
Alabama,1,2020,57647,4921532,11.71,951615,60.58
Alaska,2,2010,11471,710231,16.15,143229,80.09
Alaska,2,2011,11456,722718,15.85,145873,78.53
Alaska,2,2012,11187,731449,15.29,147310,75.94
Alaska,2,2013,11446,735132,15.57,147110,77.81
Alaska,2,2014,11392,736732,15.46,147302,77.34
Alaska,2,2015,11282,738432,15.28,146514,77
Alaska,2,2016,11209,741894,15.11,147371,76.06
Alaska,2,2017,10445,739795,14.12,146072,71.51
Alaska,2,2018,10086,737438,13.68,145589,69.28
Alaska,2,2019,9822,731545,13.43,144302,68.07
Alaska,2,2020,9469,731158,12.95,144062,65.73
Arizona,4,2010,87477,6392017,13.69,1262557,69.29
Arizona,4,2011,85543,6482505,13.2,1271186,67.29
Arizona,4,2012,86441,6553255,13.19,1281057,67.48
Arizona,4,2013,85600,6626624,12.92,1290612,66.33
Arizona,4,2014,86887,6731484,12.91,1308000,66.43
Arizona,4,2015,85351,6828065,12.5,1319880,64.67
Arizona,4,2016,84520,6931071,12.19,1330368,63.53
Arizona,4,2017,81872,7016270,11.67,1345764,60.84
Arizona,4,2018,80723,7171646,11.26,1377098,58.62
Arizona,4,2019,79375,7278717,10.91,1398758,56.75
Arizona,4,2020,76947,7421401,10.37,1425903,53.96
Arkansas,5,2010,38540,2915918,13.22,569446,67.68
Arkansas,5,2011,38715,2937979,13.18,570789,67.83
Arkansas,5,2012,38347,2949131,13,572675,66.96
Arkansas,5,2013,37832,2959373,12.78,574203,65.89
Arkansas,5,2014,38511,2966369,12.98,574772,67
Arkansas,5,2015,38886,2978204,13.06,576460,67.46
Arkansas,5,2016,38274,2988248,12.81,576758,66.36
Arkansas,5,2017,37520,3004279,12.49,577447,64.98
Arkansas,5,2018,37018,3013825,12.28,577998,64.05
Arkansas,5,2019,36564,3017804,12.12,578319,63.22
Arkansas,5,2020,35251,3030522,11.63,581184,60.65
California,6,2010,510198,37253956,13.7,7876871,64.77
California,6,2011,502120,37691912,13.32,7916936,63.42
California,6,2012,503755,38041430,13.24,7959596,63.29
California,6,2013,494705,38332521,12.91,7982855,61.97
California,6,2014,502879,38802500,12.96,8061479,62.38
California,6,2015,491748,39144818,12.56,8084612,60.83
California,6,2016,488827,39250017,12.45,8062336,60.63
California,6,2017,471658,39536653,11.93,8104632,58.2
California,6,2018,454920,39557045,11.5,8089001,56.24
California,6,2019,446479,39512223,11.3,8065265,55.36
California,6,2020,420259,39368078,10.68,8018571,52.41
Colorado,8,2010,66355,5029196,13.19,1025085,64.73
Colorado,8,2011,65055,5116796,12.71,1038317,62.65
Colorado,8,2012,65187,5187582,12.57,1050616,62.05
Colorado,8,2013,65007,5268367,12.34,1065777,60.99
Colorado,8,2014,65830,5355866,12.29,1084623,60.69
Colorado,8,2015,66581,5456574,12.2,1106534,60.17
Colorado,8,2016,66613,5540545,12.02,1123134,59.31
Colorado,8,2017,64382,5607154,11.48,1137745,56.59
Colorado,8,2018,62885,5695564,11.04,1161860,54.12
Colorado,8,2019,62869,5758736,10.92,1179141,53.32
Colorado,8,2020,61494,5807719,10.59,1194728,51.47
Connecticut,9,2010,37708,3574097,10.55,691265,54.55
Connecticut,9,2011,37281,3580709,10.41,686640,54.29
Connecticut,9,2012,36539,3590347,10.18,686665,53.21
Connecticut,9,2013,36085,3596080,10.03,684995,52.68
Connecticut,9,2014,36285,3596677,10.09,684158,53.04
Connecticut,9,2015,35746,3590886,9.95,680629,52.52
Connecticut,9,2016,36015,3576452,10.07,674231,53.42
Connecticut,9,2017,35221,3588184,9.82,672949,52.34
Connecticut,9,2018,34725,3572665,9.72,669829,51.84
Connecticut,9,2019,34258,3565287,9.61,670572,51.09
Connecticut,9,2020,33460,3557006,9.41,669984,49.94
Delaware,10,2010,11364,897934,12.66,179232,63.4
Delaware,10,2011,11257,907135,12.41,178901,62.92
Delaware,10,2012,11023,917092,12.02,179542,61.4
Delaware,10,2013,10831,925749,11.7,179522,60.33
Delaware,10,2014,10972,935614,11.73,180400,60.82
Delaware,10,2015,11166,945934,11.8,180812,61.75
Delaware,10,2016,10992,952065,11.55,179716,61.16
Delaware,10,2017,10855,961939,11.28,180343,60.19
Delaware,10,2018,10621,967171,10.98,179749,59.09
Delaware,10,2019,10562,973764,10.85,180047,58.66
Delaware,10,2020,10392,986809,10.53,182388,56.98
District of Columbia,11,2010,9165,601723,15.23,162314,56.46
District of Columbia,11,2011,9295,617996,15.04,166081,55.97
District of Columbia,11,2012,9399,632323,14.86,170060,55.27
District of Columbia,11,2013,9288,646449,14.37,174288,53.29
District of Columbia,11,2014,9509,658893,14.43,177568,53.55
District of Columbia,11,2015,9578,672228,14.25,181381,52.81
District of Columbia,11,2016,9858,681170,14.47,183414,53.75
District of Columbia,11,2017,9560,693972,13.78,186464,51.27
District of Columbia,11,2018,9212,702455,13.11,188939,48.76
District of Columbia,11,2019,9079,705749,12.86,190372,47.69
District of Columbia,11,2020,8874,712816,12.45,192313,46.14
Florida,12,2010,214590,18801310,11.41,3560982,60.26
Florida,12,2011,213414,19057542,11.2,3578464,59.64
Florida,12,2012,213148,19317568,11.03,3612609,59
Florida,12,2013,215407,19552860,11.02,3634590,59.27
Florida,12,2014,219991,19893297,11.06,3687140,59.66
Florida,12,2015,224269,20271272,11.06,3740217,59.96
Florida,12,2016,225022,20612439,10.92,3771259,59.67
Florida,12,2017,223630,20984400,10.66,3828199,58.42
Florida,12,2018,221542,21299325,10.4,3875027,57.17
Florida,12,2019,220002,21477737,10.24,3889274,56.57
Florida,12,2020,209671,21733312,9.65,3923505,53.44
Georgia,13,2010,133947,9687653,13.83,2073006,64.61
Georgia,13,2011,132409,9815210,13.49,2076093,63.78
Georgia,13,2012,130280,9919945,13.13,2088555,62.38
Georgia,13,2013,128748,9992167,12.88,2089387,61.62
Georgia,13,2014,130946,10097343,12.97,2104573,62.22
Georgia,13,2015,131404,10214860,12.86,2119884,61.99
Georgia,13,2016,130042,10310371,12.61,2128754,61.09
Georgia,13,2017,129243,10429379,12.39,2147399,60.19
Georgia,13,2018,126172,10519475,11.99,2163399,58.32
Georgia,13,2019,126371,10617423,11.9,2180019,57.97
Georgia,13,2020,122473,10710017,11.44,2197385,55.74
Hawaii,15,2010,18988,1360301,13.96,262107,72.44
Hawaii,15,2011,18956,1374810,13.79,263598,71.91
Hawaii,15,2012,18980,1392313,13.63,265029,71.61
Hawaii,15,2013,18987,1404054,13.52,265474,71.52
Hawaii,15,2014,18550,1419561,13.07,267712,69.29
Hawaii,15,2015,18420,1431603,12.87,268188,68.68
Hawaii,15,2016,18059,1428557,12.64,267210,67.58
Hawaii,15,2017,17517,1427538,12.27,265924,65.87
Hawaii,15,2018,16972,1420491,11.95,264561,64.15
Hawaii,15,2019,16797,1415872,11.86,262868,63.9
Hawaii,15,2020,15785,1407006,11.22,258328,61.1
Idaho,16,2010,23198,1567582,14.8,306303,75.74
Idaho,16,2011,22305,1584985,14.07,308675,72.26
Idaho,16,2012,22963,1595728,14.39,309836,74.11
Idaho,16,2013,22383,1612136,13.88,311712,71.81
Idaho,16,2014,22876,1634464,14,314852,72.66
Idaho,16,2015,22827,1654930,13.79,317807,71.83
Idaho,16,2016,22482,1683140,13.36,322092,69.8
Idaho,16,2017,22181,1716943,12.92,328941,67.43
Idaho,16,2018,21403,1754208,12.2,337642,63.39
Idaho,16,2019,22063,1787065,12.35,344821,63.98
Idaho,16,2020,21533,1826913,11.79,353367,60.94
Illinois,17,2010,165200,12830632,12.88,2631753,62.77
Illinois,17,2011,161312,12869257,12.53,2622664,61.51
Illinois,17,2012,159160,12875255,12.36,2613073,60.91
Illinois,17,2013,156931,12882135,12.18,2603359,60.28
Illinois,17,2014,158556,12880580,12.31,2596483,61.07
Illinois,17,2015,158116,12859995,12.3,2577634,61.34
Illinois,17,2016,154445,12801539,12.06,2549621,60.58
Illinois,17,2017,149390,12802023,11.67,2532027,59
Illinois,17,2018,144815,12741080,11.37,2516375,57.55
Illinois,17,2019,140128,12671821,11.06,2497251,56.11
Illinois,17,2020,133298,12587530,10.59,2476673,53.82
Indiana,18,2010,83940,6483802,12.95,1287393,65.2
Indiana,18,2011,83701,6516922,12.84,1287382,65.02
Indiana,18,2012,83227,6537334,12.73,1286576,64.69
Indiana,18,2013,83102,6570902,12.65,1292138,64.31
Indiana,18,2014,84080,6596855,12.75,1295431,64.91
Indiana,18,2015,84040,6619680,12.7,1296510,64.82
Indiana,18,2016,83091,6633053,12.53,1293192,64.25
Indiana,18,2017,82170,6666818,12.33,1295622,63.42
Indiana,18,2018,81646,6691878,12.2,1299333,62.84
Indiana,18,2019,80859,6732219,12.01,1310454,61.7
Indiana,18,2020,78616,6754953,11.64,1314073,59.83
Iowa,19,2010,38719,3046355,12.71,576692,67.14
Iowa,19,2011,38214,3062309,12.48,578260,66.08
Iowa,19,2012,38702,3074186,12.59,579691,66.76
Iowa,19,2013,39094,3090416,12.65,582884,67.07
Iowa,19,2014,39687,3107126,12.77,585645,67.77
Iowa,19,2015,39482,3123899,12.64,588384,67.1
Iowa,19,2016,39403,3134693,12.57,589319,66.86
Iowa,19,2017,38430,3145711,12.22,592278,64.89
Iowa,19,2018,37785,3156145,11.97,594866,63.52
Iowa,19,2019,37649,3155070,11.93,594283,63.35
Iowa,19,2020,36114,3163561,11.42,597922,60.4
Kansas,20,2010,40649,2853118,14.25,554584,73.3
Kansas,20,2011,39642,2871238,13.81,556582,71.22
Kansas,20,2012,40341,2885905,13.98,557854,72.31
Kansas,20,2013,38839,2893957,13.42,558538,69.54
Kansas,20,2014,39223,2904021,13.51,560331,70
Kansas,20,2015,39154,2911641,13.45,560142,69.9
Kansas,20,2016,38053,2907289,13.09,558638,68.12
Kansas,20,2017,36519,2913123,12.54,558606,65.38
Kansas,20,2018,36261,2911505,12.45,560121,64.74
Kansas,20,2019,35395,2913314,12.15,561891,62.99
Kansas,20,2020,34376,2913805,11.8,562644,61.1
Kentucky,21,2010,55784,4339367,12.86,854846,65.26
Kentucky,21,2011,55370,4369356,12.67,855511,64.72
Kentucky,21,2012,55758,4380415,12.73,851982,65.45
Kentucky,21,2013,55686,4395295,12.67,852992,65.28
