"SQGDP2 Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"00000","United States *",14764611.0,14980193.0,15141605.0,15309471.0,15351444.0,15557535.0,15647681.0,15842267.0,16068824.0,16207130.0,16319540.0,16420386.0,16629050.0,16699551.0,16911068.0,17133114.0,17144281.0,17462703.0,17743227.0,17852540.0,17991348.0,18193707.0,18306960.0,18332079.0,18425306.0,18611617.0,18775459.0,18968041.0,19153912.0,19322920.0,19558693.0,19882965.0,20143716.0,20492492.0,20659102.0,20813325.0,21001591.0,21289268.0,21505012.0,21694458.0,21481367.0,19477444.0,21138574.0,21477597.0,22038226.0,22740959.0,23202344.0
"01000","Alabama",172778.3,175855.6,179801.4,180561.3,180499.3,182689.4,185011.7,187466.1,188424.6,190053.1,189027.2,189477.2,194124.9,193786.5,195890.8,195345.5,193282.5,196937.5,199296.5,200110.9,199782.1,202344.6,203858.1,203504.8,204559.5,206632.4,208258.3,210023.3,212191.3,213475.7,215709.6,218967.1,221204.8,223945.9,224763.8,226273.2,227784.8,230344.1,232334.9,234223.7,233524.8,211063.6,230033.7,232963.8,237303.0,243554.6,248543.2
"02000","Alaska",51903.8,52922.5,53903.5,54596.6,54492.2,57059.1,57102.2,58932.0,58499.4,58652.9,58301.9,57680.4,57879.2,56608.4,57823.3,56679.9,56871.6,57354.7,56748.9,54964.6,52146.2,52193.5,51181.2,50442.7,48896.0,50098.6,51154.8,52761.2,51551.1,52582.9,53416.9,54806.4,53837.8,54760.5,55117.7,55130.9,54185.2,54590.7,54569.6,54842.9,53066.2,45332.2,49715.7,51165.8,52373.8,54020.3,55530.7
"04000","Arizona",245589.8,249783.0,252857.5,256381.9,256374.6,258934.3,261472.5,266881.5,269074.1,271604.9,271633.6,273447.5,275876.3,276875.9,279361.5,282252.8,283488.1,286289.0,289914.0,290975.5,295882.1,298929.9,299379.0,303382.0,308254.0,310978.5,314562.4,318530.6,324770.9,327998.9,331786.0,337108.7,344678.0,349542.9,351746.3,353662.6,364486.7,368980.4,371745.0,374740.6,383723.3,348825.5,378535.8,383791.3,388598.8,400155.7,409577.4
"05000","Arkansas",98284.6,101131.8,102983.7,103546.0,104016.7,105355.4,106202.4,107497.9,108006.5,108549.9,108667.9,108744.1,112468.8,112520.9,113828.9,114090.7,114519.0,115882.2,116756.3,117400.3,116367.9,117583.7,118665.1,118530.4,117857.9,118804.7,119471.4,120475.6,120147.4,121367.0,122777.4,125108.8,125095.1,127179.7,127904.0,129047.2,128697.0,130155.7,131572.3,132934.4,134410.5,121146.1,132589.0,134857.2,139172.7,143438.4,146292.5
"06000","California",1919069.0,1937908.1,1953261.5,2006132.2,2007608.8,2022198.7,2027032.7,2037160.0,2079759.5,2094742.1,2118154.5,2159729.7,2167627.5,2191853.4,2228668.7,2293409.9,2277808.7,2315807.3,2367246.4,2380283.6,2434212.2,2476522.9,2489391.9,2494096.5,2541868.3,2553894.4,2578023.3,2604750.2,2673164.4,2707199.4,2749409.0,2794122.9,2834419.2,2885423.5,2915582.1,2944979.2,2990735.7,3045055.3,3076858.9,3097931.0,3098986.1,2812494.6,3046248.7,3071021.4,3183281.0,3290169.6,3353473.3
"08000","Colorado",253940.1,255373.3,258953.3,264934.3,264147.5,266862.8,268330.6,270723.3,273614.1,276036.5,276873.8,280768.1,287255.3,289101.3,294140.3,298065.0,301806.8,307147.1,312328.2,316888.2,316793.3,320320.4,322179.3,323591.2,323457.5,327729.9,331676.9,336782.7,343193.9,345778.4,349967.4,356652.6,365865.3,370679.7,373040.7,376112.7,384396.4,392024.6,394123.6,398327.3,395290.4,357257.1,385196.8,392594.3,404124.6,416937.1,425595.4
"09000","Connecticut",232715.4,235591.2,236049.7,234443.7,229837.2,233670.8,233821.3,235305.7,238772.4,240728.1,241411.7,242735.6,240516.6,239938.9,242299.8,243314.6,240087.1,244480.8,248804.4,253015.6,257473.1,260034.0,259889.4,260554.6,260037.3,261038.1,264582.0,269023.8,265244.1,269059.6,273539.3,278487.6,276151.7,279804.3,282378.6,284433.5,282915.3,287407.1,290095.3,292018.7,284418.3,258045.4,278962.8,284265.2,286975.2,294649.4,299819.0
"10000","Delaware",58298.1,57410.5,58009.6,58935.9,60135.2,61038.5,62238.0,62077.2,63329.8,62626.2,62261.2,61201.3,60525.2,60609.2,61348.8,64381.5,65239.4,67846.9,69743.9,70588.6,71813.8,73499.3,71454.0,70888.6,69529.6,69467.9,69314.0,69108.4,68326.7,67892.5,68669.0,70166.8,70075.4,71966.2,73485.2,74425.1,74978.5,76637.2,77699.6,78853.4,77067.9,71627.9,76380.0,78070.2,77687.6,79281.5,81018.5
"11000","District of Columbia",103486.4,106022.3,106793.5,108285.3,108570.7,109659.5,110451.7,110239.6,110966.4,112347.9,112685.0,112628.6,113760.6,113703.8,114435.4,116260.7,117754.7,118418.7,120013.1,121472.0,123047.9,124697.2,124963.5,125710.1,128223.2,129137.5,129983.6,131250.0,131182.0,132463.2,133936.7,135982.9,136714.5,139845.4,140844.8,141734.6,141721.1,143359.8,145370.2,147171.7,146251.9,138510.9,145338.4,148117.9,148229.1,151390.1,153979.5
