State,State Code,Year,Gender,Deaths,Population,Crude Rate
Alabama,1,2010,Female,23986,2459548,975.2
Alabama,1,2010,Male,24052,2320188,1036.6
Alabama,1,2011,Female,24070,2473249,973.2
Alabama,1,2011,Male,24611,2329491,1056.5
Alabama,1,2012,Female,24535,2483466,987.9
Alabama,1,2012,Male,24766,2338557,1059
Alabama,1,2013,Female,24420,2488375,981.4
Alabama,1,2013,Male,25769,2345347,1098.7
Alabama,1,2014,Female,24773,2499410,991.2
Alabama,1,2014,Male,25442,2349967,1082.7
Alabama,1,2015,Female,25306,2505795,1009.9
Alabama,1,2015,Male,26603,2353184,1130.5
Alabama,1,2016,Female,25618,2507714,1021.6
Alabama,1,2016,Male,26848,2355586,1139.8
Alabama,1,2017,Female,25855,2514911,1028.1
Alabama,1,2017,Male,27383,2359836,1160.4
Alabama,1,2018,Female,26278,2523756,1041.2
Alabama,1,2018,Male,28074,2364115,1187.5
Alabama,1,2019,Female,26020,2533668,1027
Alabama,1,2019,Male,28088,2369517,1185.4
Alabama,1,2020,Female,31040,2544566,1219.9
Alabama,1,2020,Male,33739,2376966,1419.4
Alaska,2,2010,Female,1597,340603,468.9
Alaska,2,2010,Male,2131,369628,576.5
Alaska,2,2011,Female,1623,347526,467
Alaska,2,2011,Male,2226,375192,593.3
Alaska,2,2012,Female,1692,350211,483.1
Alaska,2,2012,Male,2220,381238,582.3
Alaska,2,2013,Female,1750,349564,500.6
Alaska,2,2013,Male,2247,385568,582.8
Alaska,2,2014,Female,1722,349436,492.8
Alaska,2,2014,Male,2406,387296,621.2
Alaska,2,2015,Female,1866,349407,534
Alaska,2,2015,Male,2450,389025,629.8
Alaska,2,2016,Female,1907,353762,539.1
Alaska,2,2016,Male,2587,388132,666.5
Alaska,2,2017,Female,1889,353003,535.1
Alaska,2,2017,Male,2522,386792,652
Alaska,2,2018,Female,1908,352865,540.7
Alaska,2,2018,Male,2545,384573,661.8
Alaska,2,2019,Female,2007,350127,573.2
Alaska,2,2019,Male,2606,381418,683.2
Alaska,2,2020,Female,2172,349621,621.2
Alaska,2,2020,Male,2998,381537,785.8
Arizona,4,2010,Female,22065,3216194,686.1
Arizona,4,2010,Male,24697,3175823,777.7
Arizona,4,2011,Female,23081,3258634,708.3
Arizona,4,2011,Male,25300,3223871,784.8
Arizona,4,2012,Female,23314,3294772,707.6
Arizona,4,2012,Male,26235,3258483,805.1
Arizona,4,2013,Female,23937,3331505,718.5
Arizona,4,2013,Male,26597,3295119,807.2
Arizona,4,2014,Female,24239,3387637,715.5
Arizona,4,2014,Male,27299,3343847,816.4
Arizona,4,2015,Female,25401,3436575,739.1
Arizona,4,2015,Male,28898,3391490,852.1
Arizona,4,2016,Female,26106,3488176,748.4
Arizona,4,2016,Male,30539,3442895,887
Arizona,4,2017,Female,26750,3527969,758.2
Arizona,4,2017,Male,31008,3488301,888.9
Arizona,4,2018,Female,27171,3606307,753.4
Arizona,4,2018,Male,32111,3565339,900.6
Arizona,4,2019,Female,27611,3661420,754.1
Arizona,4,2019,Male,32625,3617297,901.9
Arizona,4,2020,Female,34285,3735475,917.8
Arizona,4,2020,Male,41462,3685926,1124.9
Arkansas,5,2010,Female,14126,1484281,951.7
Arkansas,5,2010,Male,14790,1431637,1033.1
Arkansas,5,2011,Female,14577,1495200,974.9
Arkansas,5,2011,Male,15076,1442779,1044.9
Arkansas,5,2012,Female,14832,1500641,988.4
Arkansas,5,2012,Male,15285,1448490,1055.2
Arkansas,5,2013,Female,14884,1505782,988.5
Arkansas,5,2013,Male,15553,1453591,1070
Arkansas,5,2014,Female,14803,1509053,980.9
Arkansas,5,2014,Male,15664,1457316,1074.9
Arkansas,5,2015,Female,15304,1515348,1009.9
Arkansas,5,2015,Male,16313,1462856,1115.1
Arkansas,5,2016,Female,15325,1520375,1008
Arkansas,5,2016,Male,16431,1467873,1119.4
Arkansas,5,2017,Female,15869,1528215,1038.4
Arkansas,5,2017,Male,16719,1476064,1132.7
Arkansas,5,2018,Female,15547,1533682,1013.7
Arkansas,5,2018,Male,16789,1480143,1134.3
Arkansas,5,2019,Female,15641,1536188,1018.2
Arkansas,5,2019,Male,17247,1481616,1164.1
Arkansas,5,2020,Female,18293,1543666,1185
Arkansas,5,2020,Male,19815,1486856,1332.7
California,6,2010,Female,115638,18736126,617.2
California,6,2010,Male,118374,18517830,639.2
California,6,2011,Female,118378,18943585,624.9
California,6,2011,Male,121564,18748327,648.4
California,6,2012,Female,119151,19122866,623.1
California,6,2012,Male,123403,18918564,652.3
California,6,2013,Female,121219,19268325,629.1
California,6,2013,Male,127140,19064196,666.9
California,6,2014,Female,119502,19533596,611.8
California,6,2014,Male,126427,19268904,656.1
California,6,2015,Female,126124,19701750,640.2
California,6,2015,Male,133082,19443068,684.5
California,6,2016,Female,126980,19756656,642.7
California,6,2016,Male,135260,19493361,693.9
California,6,2017,Female,129687,19889100,652.1
California,6,2017,Male,138502,19647553,704.9
California,6,2018,Female,128703,19893468,647
California,6,2018,Male,140115,19663577,712.6
California,6,2019,Female,128135,19867369,645
California,6,2019,Male,141696,19644854,721.3
California,6,2020,Female,148019,19790589,747.9
California,6,2020,Male,171789,19577489,877.5
Colorado,8,2010,Female,15612,2508534,622.4
Colorado,8,2010,Male,15853,2520662,628.9
Colorado,8,2011,Female,16037,2549601,629
Colorado,8,2011,Male,16526,2567195,643.7
Colorado,8,2012,Female,16297,2583877,630.7
Colorado,8,2012,Male,16836,2603705,646.6
Colorado,8,2013,Female,16571,2621921,632
Colorado,8,2013,Male,17141,2646446,647.7
Colorado,8,2014,Female,17172,2664707,644.4
Colorado,8,2014,Male,18065,2691159,671.3
Colorado,8,2015,Female,17659,2712811,650.9
Colorado,8,2015,Male,18690,2743763,681.2
Colorado,8,2016,Female,17889,2754727,649.4
Colorado,8,2016,Male,19641,2785818,705
Colorado,8,2017,Female,18398,2784821,660.7
Colorado,8,2017,Male,19665,2822333,696.8
Colorado,8,2018,Female,18298,2827696,647.1
Colorado,8,2018,Male,20228,2867868,705.3
Colorado,8,2019,Female,18793,2857388,657.7
Colorado,8,2019,Male,20597,2901348,709.9
Colorado,8,2020,Female,21918,2881832,760.6
Colorado,8,2020,Male,25000,2925887,854.4
Connecticut,9,2010,Female,14999,1834483,817.6
Connecticut,9,2010,Male,13693,1739614,787.1
Connecticut,9,2011,Female,15442,1835893,841.1
Connecticut,9,2011,Male,14084,1744816,807.2
Connecticut,9,2012,Female,15279,1840431,830.2
Connecticut,9,2012,Male,14037,1749916,802.2
Connecticut,9,2013,Female,15406,1841929,836.4
Connecticut,9,2013,Male,14226,1754151,811
Connecticut,9,2014,Female,15476,1842128,840.1
Connecticut,9,2014,Male,14384,1754549,819.8
Connecticut,9,2015,Female,15870,1839139,862.9
Connecticut,9,2015,Male,14665,1751747,837.2
Connecticut,9,2016,Female,15558,1830837,849.8
Connecticut,9,2016,Male,14985,1745615,858.4
Connecticut,9,2017,Female,16127,1836384,878.2
Connecticut,9,2017,Male,15185,1751800,866.8
Connecticut,9,2018,Female,15879,1829270,868.1
